date,prefecture,average
2018/8/21,kushiro,19.4
2018/8/22,nagoya,30.4
2018/8/22,kobe,31.5
2018/8/22,kushiro,20.2
2018/8/23,nagoya,28.8
2018/8/23,kobe,30.7
2018/8/23,kushiro,21.6
2018/8/24,nagoya,28
2018/8/24,kobe,28.1
2018/8/24,kushiro,18.5
2018/8/25,nagoya,29.8
2018/8/25,kobe,28.5
2018/8/25,kushiro,15.1
2018/8/26,nagoya,31.1
2018/8/26,kobe,28.5
2018/8/26,kushiro,17
2018/8/27,nagoya,31.1
2018/8/27,kobe,29.3
2018/8/27,kushiro,17
2018/8/28,nagoya,29.5
2018/8/28,kobe,28.8
2018/8/28,kushiro,15.1
2018/8/29,nagoya,30.1
2018/8/29,kobe,28.6
2018/8/29,kushiro,15.6
2018/8/30,nagoya,29.7
2018/8/30,kobe,28.3
2018/8/30,kushiro,16.1
2018/8/31,nagoya,28.6
2018/8/31,kobe,28.5
2018/8/31,kushiro,18.1
2018/9/1,nagoya,24.5
2018/9/1,kobe,26.5
2018/9/1,kushiro,18
2018/9/2,nagoya,25.6
2018/9/2,kobe,26.2
2018/9/2,kushiro,16.9
2018/9/3,nagoya,26.7
2018/9/3,kobe,27.9
2018/9/3,kushiro,17.2
2018/9/4,nagoya,25.8
2018/9/4,kobe,27
2018/9/4,kushiro,17.3
2018/9/5,nagoya,27.5
2018/9/5,kobe,27
2018/9/5,kushiro,19.2
2018/9/6,nagoya,26.6
2018/9/6,kobe,26.5
2018/9/6,kushiro,20
2018/9/7,nagoya,26.6
2018/9/7,kobe,26.1
2018/9/7,kushiro,19.7
2018/9/8,nagoya,26.2
2018/9/8,kobe,23.4
2018/9/8,kushiro,19.4
2018/9/9,nagoya,26.2
2018/9/9,kobe,24.5
2018/9/9,kushiro,17.5
2018/9/10,nagoya,23.7
2018/9/10,kobe,23.7
2018/9/10,kushiro,14.6
2018/9/11,nagoya,22.4
2018/9/11,kobe,24.8
2018/9/11,kushiro,14.1
2018/9/12,nagoya,21.3
2018/9/12,kobe,23.2
2018/9/12,kushiro,13.3
2018/9/13,nagoya,23.3
2018/9/13,kobe,24
2018/9/13,kushiro,16
2018/9/14,nagoya,22.3
2018/9/14,kobe,23.8
2018/9/14,kushiro,17.9
2018/9/15,nagoya,22.5
2018/9/15,kobe,25.1
2018/9/15,kushiro,17.8
2018/9/16,nagoya,25.9
2018/9/16,kobe,27.3
2018/9/16,kushiro,17.7
2018/9/17,nagoya,26.3
2018/9/17,kobe,25.8
2018/9/17,kushiro,18.5
2018/9/18,nagoya,25.1
2018/9/18,kobe,25.2
2018/9/18,kushiro,17
2018/9/19,nagoya,24.1
2018/9/19,kobe,25.2
2018/9/19,kushiro,16.1
2018/9/20,nagoya,20.2
2018/9/20,kobe,21.6
2018/9/20,kushiro,14.8
2018/9/21,nagoya,20
2018/9/21,kobe,23.3
2018/9/21,kushiro,14.2
2018/9/22,nagoya,23.5
2018/9/22,kobe,25.5
2018/9/22,kushiro,13.5
2018/9/23,nagoya,24.3
2018/9/23,kobe,24
2018/9/23,kushiro,15.5
2018/9/24,nagoya,25.4
2018/9/24,kobe,24.2
2018/9/24,kushiro,16.4
2018/9/25,nagoya,21.1
2018/9/25,kobe,22.3
2018/9/25,kushiro,17
2018/9/26,nagoya,20.6
2018/9/26,kobe,21
2018/9/26,kushiro,15.5
2018/9/27,nagoya,19.3
2018/9/27,kobe,20.1
2018/9/27,kushiro,13.7
2018/9/28,nagoya,21.2
2018/9/28,kobe,21.7
2018/9/28,kushiro,13.1
2018/9/29,nagoya,18.7
2018/9/29,kobe,19.5
2018/9/29,kushiro,14.2
2018/9/30,nagoya,21.8
2018/9/30,kobe,23.6
2018/9/30,kushiro,14.9
2018/10/1,nagoya,22.8
2018/10/1,kobe,22.1
2018/10/1,kushiro,17.4
2018/10/2,nagoya,20.2
2018/10/2,kobe,21.2
2018/10/2,kushiro,13.5
2018/10/3,nagoya,21.1
2018/10/3,kobe,22.1
2018/10/3,kushiro,13.9
2018/10/4,nagoya,20.3
2018/10/4,kobe,21.2
