datetime,stockprice,price
2018/3/23,closingprice,6603
2018/3/23,highprice,6711
2018/3/23,lowprice,6586
2018/3/23,tradevolum,8729400
2018/3/26,openingprice,6576
2018/3/26,closingprice,6642
2018/3/26,highprice,6643
2018/3/26,lowprice,6531
2018/3/26,tradevolum,6361000
2018/3/27,openingprice,6722
2018/3/27,closingprice,6891
2018/3/27,highprice,6893
2018/3/27,lowprice,6706
2018/3/27,tradevolum,7890200
2018/3/28,openingprice,6727
2018/3/28,closingprice,6862
2018/3/28,highprice,6862
2018/3/28,lowprice,6684
2018/3/28,tradevolum,7136500
2018/3/29,openingprice,6939
2018/3/29,closingprice,6842
2018/3/29,highprice,6945
2018/3/29,lowprice,6763
2018/3/29,tradevolum,6205100
2018/3/30,openingprice,6876
2018/3/30,closingprice,6825
2018/3/30,highprice,6892
2018/3/30,lowprice,6791
2018/3/30,tradevolum,4744500
2018/3/5,openingprice,6887
2018/3/5,closingprice,6816
2018/3/5,highprice,6904
2018/3/5,lowprice,6793
2018/3/5,tradevolum,5304700
2018/3/6,openingprice,6930
2018/3/6,closingprice,6882
2018/3/6,highprice,6993
2018/3/6,lowprice,6881
2018/3/6,tradevolum,5232100
2018/3/7,openingprice,6806
2018/3/7,closingprice,6797
2018/3/7,highprice,6911
2018/3/7,lowprice,6767
2018/3/7,tradevolum,6565800
2018/3/8,openingprice,6859
2018/3/8,closingprice,6815
2018/3/8,highprice,6862
2018/3/8,lowprice,6791
2018/3/8,tradevolum,4010000
2018/3/9,openingprice,6900
2018/3/9,closingprice,6791
2018/3/9,highprice,6953
2018/3/9,lowprice,6772
2018/3/9,tradevolum,8114800
2018/4/10,openingprice,6746
2018/4/10,closingprice,6838
2018/4/10,highprice,6908
2018/4/10,lowprice,6709
2018/4/10,tradevolum,6951200
2018/4/11,openingprice,6890
2018/4/11,closingprice,6845
2018/4/11,highprice,6914
2018/4/11,lowprice,6845
2018/4/11,tradevolum,3609100
2018/4/12,openingprice,6834
2018/4/12,closingprice,6873
2018/4/12,highprice,6886
2018/4/12,lowprice,6740
2018/4/12,tradevolum,4390000
2018/4/13,openingprice,6931
2018/4/13,closingprice,6910
2018/4/13,highprice,6962
2018/4/13,lowprice,6903
2018/4/13,tradevolum,4553800
2018/4/16,openingprice,6917
2018/4/16,closingprice,6936
2018/4/16,highprice,6941
